Cuanexo,Submodalidad
020066300,Primaria
020066300,Secundaria
020066300,No Universitario
020066400,Nivel inicial
020066400,Primaria
020066400,Secundaria
020066600,Nivel inicial
020066700,Primaria
020066800,Nivel inicial
020066800,Primaria
020066800,Secundaria
020066900,Primaria
020067000,Nivel inicial
020067000,Primaria
020067200,Nivel inicial
020067200,Primaria
020067200,Secundaria
020067300,Nivel inicial
020067300,Primaria
020067300,Secundaria
020067400,Nivel inicial
020067400,Primaria
020067400,Secundaria
020067500,Nivel inicial
020067500,Primaria
020067500,Secundaria
020067600,Nivel inicial
020067600,Primaria
020067600,Secundaria
020067700,Nivel inicial
020067700,Primaria
020067700,Secundaria
020067800,Primaria
020068000,Secundaria
020068100,Primaria
020068300,Nivel inicial
020068300,Primaria
020068300,Secundaria
020068400,Nivel inicial
020068400,Primaria
020068400,Secundaria
020068500,Nivel inicial
020068500,Primaria
020068500,Secundaria
020068600,Nivel inicial
020068600,Primaria
020068600,Secundaria
020068700,Primaria
020068900,Primaria
020069000,Nivel inicial
020069000,Primaria
020069000,Secundaria
020069000,No Universitario
020069100,Nivel inicial
020069100,Primaria
020069100,Secundaria
020069200,No Universitario
020069400,Primaria
020069500,Nivel inicial
020069502,Nivel inicial
020069504,Nivel inicial
020069600,Nivel inicial
020069600,Primaria
020069600,Secundaria
020069600,No Universitario
020069900,Nivel inicial
020069900,Primaria
020069900,Secundaria
020070000,Nivel inicial
020070000,Primaria
020070000,Secundaria
020070100,Primaria
020070200,Nivel inicial
020070300,Nivel inicial
020070400,No Universitario
020070500,Primaria
020070600,Nivel inicial
020070601,Nivel inicial
020070602,Nivel inicial
020070603,Nivel inicial
020070700,Primaria
020070800,Nivel inicial
020070800,Primaria
020070800,Secundaria
020070800,No Universitario
020070900,Nivel inicial
020071000,Primaria
020071100,Primaria
020071300,Nivel inicial
020071302,Nivel inicial
020071303,Nivel inicial
020071400,Primaria
020071500,No Universitario
020071600,Nivel inicial
020071600,Primaria
020071600,Secundaria
020071700,Nivel inicial
020071700,Primaria
020071700,Secundaria
020071700,No Universitario
020071800,Nivel inicial
020071800,Primaria
020071800,Secundaria
020072000,No Universitario
020072100,Nivel inicial
020072100,Primaria
020072100,Secundaria
020072300,Nivel inicial
020072300,Primaria
020072300,Secundaria
020072400,Secundaria
020072600,Primaria
020072700,Primaria
020072800,Nivel inicial
020072800,Primaria
020072800,Secundaria
020072900,Nivel inicial
020072900,Primaria
020072900,Secundaria
020073000,Primaria
020073100,Primaria
020073200,Secundaria
020073300,Nivel inicial
020073300,Primaria
020073300,Secundaria
020073500,Primaria
020073600,Nivel inicial
020073600,Primaria
020073700,Nivel inicial
020073701,Nivel inicial
020073702,Nivel inicial
020073703,Nivel inicial
020073800,Nivel inicial
020073800,Primaria
020073800,Secundaria
020073800,No Universitario
020073900,Nivel inicial
020073900,Primaria
020073900,Secundaria
020074000,Nivel inicial
020074000,Primaria
020074000,Secundaria
020074100,Nivel inicial
020074100,Primaria
020074200,No Universitario
020074300,Primaria
020074400,Secundaria
020074500,Primaria
020074600,Secundaria
020074700,Nivel inicial
020074700,Primaria
020074700,Secundaria
020074800,Nivel inicial
020074800,Primaria
020074800,Secundaria
020074900,Nivel inicial
020074900,Primaria
020074900,Secundaria
020075100,Primaria
020075300,Nivel inicial
020075300,Primaria
020075300,Secundaria
020075300,No Universitario
020075500,Secundaria
020075600,Secundaria
020075700,Nivel inicial
020075800,Primaria
020076000,Primaria
020076100,Primaria
020076200,Primaria
020076300,Primaria
020076500,Primaria
020076600,Nivel inicial
020076600,Primaria
020076700,Nivel inicial
020076700,Primaria
020076700,Secundaria
020076800,Nivel inicial
020076800,Primaria
020076800,Secundaria
020076800,No Universitario
020076900,Nivel inicial
020076900,Primaria
020077000,Secundaria
020077200,Primaria
020077400,Primaria
020077500,Primaria
020077600,Nivel inicial
020077600,Primaria
020077600,Secundaria
020077800,Primaria
020077900,Secundaria
020078000,Primaria
020078100,Nivel inicial
020078100,Primaria
020078100,Secundaria
020078300,Nivel inicial
020078300,Primaria
020078300,Secundaria
020078400,Primaria
020078500,Nivel inicial
020078500,Primaria
020078500,Secundaria
020078600,Primaria
020078900,Nivel inicial
020078900,Primaria
020079000,Nivel inicial
020079100,Primaria
020079400,Primaria
020079500,No Universitario
020079700,Nivel inicial
020079900,Primaria
020080000,Nivel inicial
020080001,Nivel inicial
020080002,Nivel inicial
020080300,Nivel inicial
020080500,Primaria
020080800,Secundaria
020080900,Primaria
020081000,Nivel inicial
020081100,Primaria
020081300,Primaria
020081400,Primaria
020081600,Nivel inicial
020081800,Primaria
020082000,Primaria
020082200,Nivel inicial
020082200,Primaria
020082200,Secundaria
020082300,Nivel inicial
020082300,Primaria
020082300,Secundaria
020082400,Primaria
020082500,Secundaria
020082600,Primaria
020082800,Nivel inicial
020082800,Primaria
020082800,Secundaria
020082900,Primaria
020083000,Primaria
020083100,Primaria
020083200,Nivel inicial
020083200,Primaria
020083300,Nivel inicial
020083300,Primaria
020083300,Secundaria
020083400,Nivel inicial
020083400,Primaria
020083400,Secundaria
020083500,Secundaria
020083800,Secundaria
020083900,Secundaria
020084000,Secundaria
020084300,Secundaria
020084500,Nivel inicial
020084500,Primaria
020084500,Secundaria
020084600,Primaria
020084800,Nivel inicial
020084801,Nivel inicial
020084802,Nivel inicial
020084803,Nivel inicial
020084804,Nivel inicial
020084900,Secundaria
020085000,Primaria
020085200,No Universitario
020085400,No Universitario
020085500,Nivel inicial
020085500,Primaria
020085500,Secundaria
020085600,Nivel inicial
020085600,Primaria
